Trace
Swept SA
A.24.56,N9000B
360022447.507947,-66.8586221015316
360022513.265947,-66.3766878939223
360022579.023947,-66.1989010339496
360022644.781947,-66.3431414461684
360022710.539947,-66.9368466782844
360022776.297947,-67.1805993880349
360022842.055947,-67.1972245841191
360022907.813947,-67.941549323071
360022973.571947,-67.7442087195386
360023039.329947,-66.3448486328125
360023105.087947,-67.0871928423301
360023170.845947,-66.9830488446115
360023236.603947,-66.9361157472106
360023302.361947,-66.8328986770805
360023368.119947,-68.7478580694089
360023433.877947,-67.9431716655863
360023499.635947,-67.5226334319717
360023565.393947,-67.6973862045113
360023631.151947,-67.5930402909202
360023696.909947,-68.8422071084209
360023762.667947,-67.9264216368225
360023828.425947,-67.9013207534264
360023894.183947,-67.8470180116851
360023959.941947,-68.316482412404
360024025.699947,-68.6334099166695
360024091.457947,-67.7231306317209
360024157.215947,-67.7309587412867
360024222.973947,-67.0206077400295
360024288.731947,-67.9382893354043
360024354.489947,-68.214087343764
360024420.247947,-67.0145177293098
360024486.005947,-68.0696140157765
360024551.763947,-67.7057108824281
360024617.521947,-67.9542028054423
360024683.279947,-68.2403845074533
360024749.037947,-68.2172111423536
360024814.795947,-67.0482377677128
360024880.553947,-66.9742756547599
360024946.311947,-67.6557023936304
360025012.069947,-67.9810224949628
360025077.827947,-68.3828497261836
360025143.585947,-68.0656353742227
360025209.343947,-67.8969009662496
360025275.101947,-67.8075390958238
360025340.859947,-68.2460441589356
360025406.617947,-68.4292637616739
360025472.375947,-68.9844696658781
360025538.133947,-68.9242134094238
360025603.891947,-68.9326594999467
360025669.649947,-69.1616620469367
360025735.407947,-69.4844466900003
360025801.165947,-69.4050213605508
360025866.923947,-69.0808849553952
360025932.681947,-68.8080485113736
360025998.439947,-68.9545367010709
360026064.197947,-69.1029632831442
360026129.955947,-69.5955275173845
360026195.713947,-67.86277591223
360026261.471947,-67.6145299275716
360026327.229947,-69.4388279969665
360026392.987947,-69.3583048239522
360026458.745947,-69.335525819625
360026524.503947,-69.9083994284444
360026590.261947,-69.6705051729049
360026656.019947,-69.8064286242956
360026721.777947,-68.9215172953989
360026787.535947,-68.5961245832772
360026853.293947,-69.0211792869129
360026919.051947,-68.5969563626695
360026984.809947,-69.2780216260888
360027050.567947,-70.3729575146204
360027116.325947,-68.9830231502138
360027182.083947,-68.8950559243389
360027247.841947,-68.8448538506168
360027313.599947,-69.635493925248
360027379.357947,-69.5604240154398
360027445.115947,-68.5459264557937
360027510.873947,-68.253004446797
360027576.631947,-69.3507317290909
360027642.389947,-69.0552857059172
360027708.147947,-69.7179051541734
360027773.905947,-70.2900227075336
360027839.663947,-69.3209783181377
360027905.421947,-69.5588093461661
360027971.179947,-69.8594854946794
360028036.937947,-69.3536638720282
360028102.695947,-69.3312250773112
360028168.453947,-69.5935939920359
360028234.211947,-69.7985811781609
360028299.969947,-70.3046059444033
360028365.727947,-70.3026579933605
360028431.485947,-70.2639785415825
360028497.243947,-70.5417672519026
360028563.001947,-70.8716450395255
360028628.759947,-70.1679825618349
360028694.517947,-69.5383253426387
360028760.275947,-70.2286445793064
360028826.033947,-70.5668291113843
360028891.791947,-70.4989694617261
360028957.549947,-70.0857687763784
360029023.307947,-69.66459138366
360029089.065947,-69.0603551755006
360029154.823947,-70.3351350981614
360029220.581947,-70.8157709932876
360029286.339947,-70.8166977454876
360029352.097947,-69.6104817883722
360029417.855947,-69.8066842967066
360029483.613947,-69.9420110329815
360029549.371947,-70.0192440515277
360029615.129947,-69.680240368021
360029680.887947,-68.6278613298789
360029746.645947,-68.8132636410067
360029812.403947,-69.5065975408445
360029878.161947,-69.2418333908607
360029943.919947,-69.6174198896035
360030009.677947,-69.9681923526457
360030075.435947,-69.5838954969384
360030141.193947,-69.2177989565093
360030206.951947,-70.3418736074163
360030272.709947,-70.3765284658849
360030338.467947,-70.5221431776025
360030404.225947,-69.4005619794473
360030469.983947,-70.3929628394116
360030535.741947,-69.5857202376443
360030601.499947,-69.8744363017466
360030667.257947,-70.2210767460965
360030733.015947,-69.8259272959041
360030798.773947,-69.8461947824763
360030864.531947,-70.7056112179811
360030930.289947,-70.1894276936849
360030996.047947,-70.5372181157956
360031061.805947,-70.7343351429906
360031127.563947,-70.3274075299844
360031193.321947,-71.086503302914
360031259.079947,-70.3962165569437
360031324.837947,-70.2795589490869
360031390.595947,-69.384264408857
360031456.353947,-68.7341704971489
360031522.111947,-69.4640538884306
360031587.869947,-70.0244889533383
